Year,Annual Ceiling,Number of Admitted Refugees
1980,231700,207116
1981,217000,159252
1982,140000,98096
1983,90000,61218
1984,72000,70393
1985,70000,67704
1986,67000,62146
1987,70000,64528
1988,87500,76483
1989,116500,107070
1990,125000,122066
1991,131000,113389
1992,131000,132531
1993,142000,119448
1994,121000,112981
1995,112000,99974
1996,90000,76403
1997,78000,70488
1998,83000,77080
1999,91000,85525
2000,90000,73147
2001,80000,69886
2002,70000,27131
2003,70000,28403
2004,70000,52873
2005,70000,53813
2006,70000,41223
2007,70000,48282
2008,80000,60191
2009,80000,74654
2010,80000,73311
2011,80000,56424
2012,76000,58238
2013,70000,69926
2014,70000,69987
2015,70000,69933
2016,85000,84995
2017,50000,53716
2018,45000,22517
2019,30000,30000
2020,18000,11841
