state,county,current_votes,total_votes,percent
Delaware,Kent County,87025,87025,100
Delaware,New Castle County,287633,287633,100
Delaware,Sussex County,129352,129352,100
District of Columbia,District of Columbia,40631,45392,90
District of Columbia,Ward 2,31929,37140,86
District of Columbia,Ward 3,43188,47692,91
District of Columbia,Ward 4,44361,45917,95
District of Columbia,Ward 5,45176,44719,95
District of Columbia,Ward 6,58315,57889,95
District of Columbia,Ward 7,37836,37287,95
District of Columbia,Ward 8,32246,32583,95
Florida,Alachua County,142784,142784,99
Florida,Baker County,14082,14059,99
Florida,Bay County,93131,106100,88
Florida,Bradford County,13650,13650,99
Florida,Brevard County,360666,356128,99
Florida,Broward County,959418,965000,95
Florida,Calhoun County,6537,6529,99
Florida,Charlotte County,116481,116481,99
Florida,Citrus County,93380,96694,95
Florida,Clay County,124622,129188,95
Florida,Collier County,207758,210070,95
Florida,Columbia County,33039,34000,95
Florida,DeSoto County,12676,12645,99
Florida,Dixie County,8171,8170,99
Florida,Duval County,492556,491584,99
Florida,Escambia County,170311,184979,92
Florida,Flagler County,71846,69764,95
Florida,Franklin County,6857,6851,99
Florida,Gadsden County,23800,23783,99
Florida,Gilchrist County,9702,9212,95
Florida,Glades County,5201,4762,95
Florida,Gulf County,8172,8170,99
Florida,Hamilton County,5838,5832,99
Florida,Hardee County,8485,8475,99
Florida,Hendry County,12954,12944,99
Florida,Hernando County,109176,109176,99
Florida,Highlands County,52117,53000,95
Florida,Hillsborough County,711722,709040,99
Florida,Holmes County,9077,9072,99
Florida,Indian River County,97737,97069,95
Florida,Jackson County,22419,22415,99
Florida,Jefferson County,8465,8459,99
Florida,Lafayette County,3661,3657,99
Florida,Lake County,211702,211314,99
Florida,Lee County,393854,391934,99
Florida,Leon County,162895,187122,87
Florida,Levy County,23180,23500,95
Florida,Liberty County,3562,3562,99
Florida,Madison County,9380,9376,99
Florida,Manatee County,216879,217116,95
Florida,Marion County,204621,204577,99
Florida,Martin County,98911,98887,99
Florida,Miami-Dade County,1158600,1205651,95
