GeoName,Region,2012,2013,2014,2015,2016,2017,2018,2019,2013,2014,2015,2016,2017,2018,2019,2020,avg,avg,Diff
Connecticut,1,244114.4,238621.4,237700.4,245304.5,245966.1,248077.1,249043.3,251329.8,-2.3,-0.4,3.2,0.3,0.9,0.4,0.9,,0.2,0.7,0.5
Maine,1,52866.6,52456.3,53445.1,53879.3,55088.1,55964.7,57302.7,58793.3,-0.8,1.9,0.8,2.2,1.6,2.4,2.6,,1,2.2,1.2
Massachusetts,1,444478.2,446190.4,453778.2,471979.2,479184.9,490874.1,507806,519961.6,0.4,1.7,4,1.5,2.4,3.4,2.4,,1.9,2.7,0.8
New Hampshire,1,67635.7,68124.5,69506.5,71419.1,73022.7,74253.6,76165.3,77240.3,0.7,2,2.8,2.2,1.7,2.6,1.4,,1.9,1.9,0
Rhode Island,1,51607.4,51679,52005.5,52957.8,53030.2,52727.7,53135.5,53668,0.1,0.6,1.8,0.1,-0.6,0.8,1,,0.7,0.4,-0.3
Vermont,1,28893.6,28367.9,28510.1,28876.6,29206.3,29312.4,29565.4,29806.2,-1.8,0.5,1.3,1.1,0.4,0.9,0.8,,0.3,0.7,0.4
Delaware,2,61866.7,59496.1,64123.6,66527,62889,61851.1,63162.6,64319.3,-3.8,7.8,3.7,-5.5,-1.7,2.1,1.8,,0.6,0.7,0.1
District of Columbia,2,112610,112811.4,114814.8,117011,119420.2,120210.9,122661.9,123929.3,0.2,1.8,1.9,2.1,0.7,2,1,,1.5,1.2,-0.3
Maryland,2,334555.5,334431,339991.3,349146.8,359987.5,365857,368810.4,374039.3,0,1.7,2.7,3.1,1.6,0.8,1.4,,1.9,1.3,-0.6
New Jersey,2,519569,526889.9,524420.4,535284.5,540380.3,540656.6,549000.8,556731,1.4,-0.5,2.1,1,0.1,1.5,1.4,,1,1,0
New York,2,1323400.8,1325490,1347559.8,1372232.4,1397723.7,1424905.5,1467076.8,1490678.5,0.2,1.7,1.8,1.9,1.9,3,1.6,,1.4,2.2,0.8
Pennsylvania,2,640663.1,650802.3,666555.8,682527,691316.2,695560.8,708856.9,726165.9,1.6,2.4,2.4,1.3,0.6,1.9,2.4,,1.9,1.6,-0.3
Illinois,3,720881.5,719922.2,735876.3,747666.8,746370,752459.2,769631.2,773135.5,-0.1,2.2,1.6,-0.2,0.8,2.3,0.5,,0.9,1.2,0.3
Indiana,3,297816.1,303966.8,313830.9,311850.4,316545.6,322969.3,332156.8,337636.1,2.1,3.2,-0.6,1.5,2,2.8,1.6,,1.6,2.1,0.5
Michigan,3,418742.3,425327.3,430935.6,442287.6,451025.9,457341.5,467828,471648.1,1.6,1.3,2.6,2,1.4,2.3,0.8,,1.9,1.5,-0.4
Ohio,3,540882.4,550692.3,571424.7,579943.2,585044.7,592725.7,606141.5,615474.4,1.8,3.8,1.5,0.9,1.3,2.3,1.5,,2,1.7,-0.3
Wisconsin,3,274540.5,275648.7,282031.2,288260.1,291320.5,294151.7,303767.4,308044.7,0.4,2.3,2.2,1.1,1,3.3,1.4,,1.5,1.9,0.4
Iowa,4,157838.6,157902.5,165641.4,170545.9,169488.8,168976.5,172844.7,173515.4,0,4.9,3,-0.6,-0.3,2.3,0.4,,1.8,0.8,-1
Kansas,4,140764.1,140355.8,144131.5,147929.8,152511.5,154456.6,158192.7,160059.3,-0.3,2.7,2.6,3.1,1.3,2.4,1.2,,2,1.6,-0.4
Minnesota,4,296272.5,303222.5,312084,316863.3,321980,327667.5,337215.9,341041.4,2.3,2.9,1.5,1.6,1.8,2.9,1.1,,2.1,1.9,-0.2
Missouri,4,268861.9,271475.9,272786.8,276316.7,276210.9,279264.3,284696.3,287659.3,1,0.5,1.3,0,1.1,1.9,1,,0.7,1.3,0.6
Nebraska,4,102605.3,103974.8,107394.4,110752.9,111611.7,113754.2,115087.9,117395.2,1.3,3.3,3.1,0.8,1.9,1.2,2,,2.1,1.7,-0.4
North Dakota,4,51624.6,52385.5,56554.6,55067.4,51137.3,51291.2,53472.8,53930.2,1.5,8,-2.6,-7.1,0.3,4.3,0.9,,0,1.8,1.8
South Dakota,4,43550.7,43737.7,44449.7,45371.8,45733.6,46023.9,47287,47559.7,0.4,1.6,2.1,0.8,0.6,2.7,0.6,,1.2,1.3,0.1
Alabama,5,186553.9,188814.2,187568,189428.8,191523.4,193693,198053.7,200829.4,1.2,-0.7,1,1.1,1.1,2.3,1.4,,0.7,1.6,0.9
Arkansas,5,107718.8,110301.4,111729.9,112938.9,113490.4,114950.7,116698.8,117447.1,2.4,1.3,1.1,0.5,1.3,1.5,0.6,,1.3,1.1,-0.2
Florida,5,768722.9,784238.4,806029.4,842269.4,870963.2,901903.5,936580.3,963255.9,2,2.8,4.5,3.4,3.6,3.8,2.8,,3.2,3.4,0.2
Georgia,5,443566.1,449796.1,465137.8,484378.4,500909.3,519452.6,538730.8,547422.7,1.4,3.4,4.1,3.4,3.7,3.7,1.6,,3.1,3,-0.1
Kentucky,5,176323.1,179499.1,179888.5,182487.9,183454.9,184600.8,187507.4,190811.5,1.8,0.2,1.4,0.5,0.6,1.6,1.8,,1,1.3,0.3
Louisiana,5,233481.2,226345.4,232746.2,230434,225361.8,228819.3,235021.9,239967.2,-3.1,2.8,-1,-2.2,1.5,2.7,2.1,,-0.9,2.1,3
Mississippi,5,99616.3,99456.4,99501.2,100013.6,100412.1,101071.7,102061.7,102656.4,-0.2,0,0.5,0.4,0.7,1,0.6,,0.2,0.8,0.6
North Carolina,5,439539.7,445109.6,455295.7,469535.6,477523.8,489026.6,501955,511539.9,1.3,2.3,3.1,1.7,2.4,2.6,1.9,,2.1,2.3,0.2
South Carolina,5,175328.5,178757.4,183579.7,190294.1,196477.4,202644.5,209012.5,214933.7,2,2.7,3.7,3.2,3.1,3.1,2.8,,2.9,3,0.1
Tennessee,5,283482,287259,291661.7,302970.2,308157.4,314849.9,323316.8,328406.3,1.3,1.5,3.9,1.7,2.2,2.7,1.6,,2.1,2.2,0.1
Virginia,5,445120.7,446625,446790.6,455830,460185,468125.4,478835,489168.4,0.3,0,2,1,1.7,2.3,2.2,,0.8,2.1,1.3
West Virginia,5,69335.6,70121.2,69720.7,70332.7,69276.4,69743.2,71858.7,72340.4,1.1,-0.6,0.9,-1.5,0.7,3,0.7,,0,1.5,1.5
Arizona,6,268068.2,269967.4,274112.9,281935.6,291259.6,302117.8,314016.1,323597.6,0.7,1.5,2.9,3.3,3.7,3.9,3.1,,2.1,3.6,1.5
New Mexico,6,87644.8,86624.8,89372.2,91679.5,91713.9,91772.3,93870.9,98765.7,-1.2,3.2,2.6,0,0.1,2.3,5.2,,1.2,2.5,1.3
Oklahoma,6,173238.8,176862.6,186307,193237.7,188063.3,188157.2,193204.7,197900.4,2.1,5.3,3.7,-2.7,0,2.7,2.4,,2.1,1.7,-0.4
Texas,6,1410447.8,1470464.6,1518613.7,1595969.5,1606579.8,1651329.5,1715231,1764357.2,4.3,3.3,5.1,0.7,2.8,3.9,2.9,,3.4,3.2,-0.2
Colorado,7,273593.9,282605.5,294812,308898.9,315793,328510.2,342865.6,356280.2,3.3,4.3,4.8,2.2,4,4.4,3.9,,3.7,4.1,0.4
Idaho,7,57780.1,59966.8,61663.2,63235.7,65643.2,68412.2,72455.4,74937.1,3.8,2.8,2.6,3.8,4.2,5.9,3.4,,3.3,4.5,1.2
Montana,7,42041.6,42429.7,43285.1,45042.5,44580.7,45480.6,46627.5,47916.3,0.9,2,4.1,-1,2,2.5,2.8,,1.5,2.4,0.9
Utah,7,128764.2,132169.1,136325.2,141602,147555.5,153986,162574.4,168792.7,2.6,3.1,3.9,4.2,4.4,5.6,3.8,,3.5,4.6,1.1
Wyoming,7,38437.7,38523.2,38711.1,39899,38079.7,37866.3,38696.3,39214,0.2,0.5,3.1,-4.6,-0.6,2.2,1.3,,-0.2,1,1.2
Alaska,8,57717.5,54748.1,53480.6,54015.3,53289,52825.9,52928.7,53255.2,-5.1,-2.3,1,-1.3,-0.9,0.2,0.6,,-1.9,0,1.9
California,8,2144089.6,2219610.5,2316331.2,2437366.9,2519133.6,2628314.6,2708966.9,2800505.4,3.5,4.4,5.2,3.4,4.3,3.1,3.4,,4.1,3.6,-0.5
Hawaii,8,73676.7,74294.1,74490.6,77176.6,79093.5,81039.5,82203.9,82471.4,0.8,0.3,3.6,2.5,2.5,1.4,0.3,,1.8,1.4,-0.4
Nevada,8,127789.1,128341.2,129405.2,134892.2,138638.9,143590.9,149663,153728.6,0.4,0.8,4.2,2.8,3.6,4.2,2.7,,2.1,3.5,1.4
Oregon,8,174427.6,175811.6,181754.9,191864.2,201059.5,209581.3,219279.9,225336.8,0.8,3.4,5.6,4.8,4.2,4.6,2.8,,3.7,3.9,0.2
Washington,8,400623.3,411468.9,426481.6,446628.3,463974,489435,524486.9,548686.7,2.7,3.6,4.7,3.9,5.5,7.2,4.6,,3.7,5.8,2.1
United States, ,16197007,16495369,16912038,17432170,17730509,18144105,18687786,19091662,1.8,2.5,3.1,1.7,2.3,3,2.2,,2.3,2.5,0.2
,,,,,,,,,,,,,,,,,,1.6,2.1,0.5
