Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Footnotes,Year
United States,0.7709999999999999,0.1,0.079,0.035,0.005,0.011,1,1.0,2013
Alabama,0.754,0.21899999999999997,0.009000000000000001,0.005,0.0030162992007306743,0.009,1,1.0,2013
Alaska,0.721,0.11183333333333334,0.0741063829787234,0.03578168042932173,0.15,0.013500370436380247,1,1.0,2013
Arizona,0.805,0.025,0.122,0.017,0.024,0.009,1,1.0,2013
Arkansas,0.8440000000000001,0.121,0.013000000000000001,0.0030162992007306743,0.0030162992007306743,0.015,1,1.0,2013
California,0.586,0.059000000000000004,0.2,0.135,0.0030162992007306743,0.016,1,1.0,2013
Colorado,0.82,0.032,0.11699999999999999,0.02,0.0030162992007306743,0.009,1,1.0,2013
Connecticut,0.8420000000000001,0.073,0.06,0.016,0.012794640038495368,0.008,1,1.0,2013
Delaware,0.789,0.14800000000000002,0.035,0.03578168042932173,0.006,0.013500370436380247,1,1.0,2013
District of Columbia,0.245,0.654,0.059000000000000004,0.03578168042932173,0.012794640038495368,0.024,1,1.0,2013
Florida,0.75,0.08800000000000001,0.141,0.013,0.0030162992007306743,0.007,1,1.0,2013
Georgia,0.703,0.251,0.021,0.017,0.0030162992007306743,0.006,1,1.0,2013
Hawaii,0.258,0.11183333333333334,0.036000000000000004,0.59,0.012794640038495368,0.113,1,1.0,2013
Idaho,0.935,0.11183333333333334,0.03,0.014,0.006,0.013,1,1.0,2013
Illinois,0.772,0.127,0.063,0.031,0.0030162992007306743,0.006,1,1.0,2013
Indiana,0.892,0.07,0.019,0.008,0.0030162992007306743,0.009,1,1.0,2013
Iowa,0.9570000000000001,0.015,0.016,0.006,0.012794640038495368,0.013500370436380247,1,1.0,2013
Kansas,0.885,0.045,0.036000000000000004,0.012,0.008,0.014,1,1.0,2013
Kentucky,0.9229999999999999,0.055999999999999994,0.006999999999999999,0.0030162992007306743,0.012794640038495368,0.008,1,1.0,2013
