,state,party_win_code
0,Alabama,republican
1,Alaska,republican
2,Arizona,democrat
3,Arkansas,republican
4,California,democrat
5,Colorado,democrat
6,Connecticut,democrat
7,Delaware,democrat
8,District of Columbia,democrat
9,Florida,republican
10,Georgia,democrat
11,Hawaii,democrat
12,Idaho,republican
13,Illinois,democrat
14,Indiana,republican
15,Iowa,republican
16,Kansas,republican
17,Kentucky,republican
18,Louisiana,republican
19,Maine,democrat
20,Maryland,democrat
21,Massachusetts,democrat
22,Michigan,democrat
23,Minnesota,democrat
24,Mississippi,republican
25,Missouri,republican
26,Montana,republican
27,Nebraska,republican
28,Nevada,democrat
29,New Hampshire,democrat
30,New Jersey,democrat
31,New Mexico,democrat
32,New York,democrat
33,North Carolina,republican
34,North Dakota,republican
35,Ohio,republican
36,Oklahoma,republican
37,Oregon,democrat
38,Pennsylvania,democrat
39,Rhode Island,democrat
40,South Carolina,republican
41,South Dakota,republican
42,Tennessee,republican
43,Texas,republican
44,Utah,republican
45,Vermont,democrat
46,Virginia,democrat
47,Washington,democrat
48,West Virginia,republican
49,Wisconsin,democrat
50,Wyoming,republican
