Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Year
United States,0.626,0.121,0.172,0.05,0.01,0.008700876319038956,0.024,1.0,2013
Alabama,0.6659999999999999,0.262,0.039,0.011000000000000001,0.008700876319038956,0.013672855119305915,0.017,1.0,2013
Alaska,0.625,0.034,0.063,0.05,0.138,0.014,0.076,1.0,2013
Arizona,0.568,0.039,0.302,0.028999999999999998,0.039,0.008700876319038956,0.022,1.0,2013
Arkansas,0.738,0.154,0.069,0.012,0.01,0.013672855119305915,0.021,1.0,2013
California,0.389,0.055,0.385,0.136,0.008700876319038956,0.008700876319038956,0.029,1.0,2013
Colorado,0.6940000000000001,0.036,0.21100000000000002,0.028999999999999998,0.01,0.008700876319038956,0.026,1.0,2013
Connecticut,0.695,0.096,0.146,0.040999999999999995,0.008700876319038956,0.013672855119305915,0.021,1.0,2013
Delaware,0.643,0.205,0.08900000000000001,0.038,0.008700876319038956,0.013672855119305915,0.022,1.0,2013
District of Columbia,0.35100000000000003,0.486,0.10400000000000001,0.031,0.01920862825091862,0.013672855119305915,0.026,1.0,2013
Florida,0.563,0.152,0.23800000000000002,0.026000000000000002,0.008700876319038956,0.008700876319038956,0.019,1.0,2013
Georgia,0.5489999999999999,0.304,0.091,0.035,0.008700876319038956,0.008700876319038956,0.019,1.0,2013
Hawaii,0.217,0.015,0.096,0.38299999999999995,0.01920862825091862,0.089,0.199,1.0,2013
Idaho,0.833,0.008700876319038956,0.11800000000000001,0.016,0.01,0.013672855119305915,0.018,1.0,2013
Illinois,0.628,0.138,0.166,0.049,0.008700876319038956,0.008700876319038956,0.018,1.0,2013
Indiana,0.807,0.088,0.065,0.018000000000000002,0.008700876319038956,0.013672855119305915,0.021,1.0,2013
Iowa,0.8759999999999999,0.032,0.054000000000000006,0.02,0.008700876319038956,0.013672855119305915,0.015,1.0,2013
Kansas,0.773,0.056,0.111,0.024,0.01,0.013672855119305915,0.028,1.0,2013
Kentucky,0.86,0.076,0.032,0.012,0.008700876319038956,0.013672855119305915,0.018,1.0,2013
Louisiana,0.599,0.318,0.046,0.016,0.01,0.013672855119305915,0.015,1.0,2013
Maine,0.941,0.01,0.013000000000000001,0.01,0.01,0.013672855119305915,0.021,1.0,2013
Maryland,0.532,0.289,0.091,0.06,0.008700876319038956,0.013672855119305915,0.026,1.0,2013
Massachusetts,0.748,0.063,0.106,0.055999999999999994,0.008700876319038956,0.013672855119305915,0.026,1.0,2013
Michigan,0.762,0.136,0.047,0.027000000000000003,0.008700876319038956,0.013672855119305915,0.024,1.0,2013
Minnesota,0.82,0.053,0.048,0.045,0.011,0.013672855119305915,0.024,1.0,2013
Mississippi,0.5760000000000001,0.376,0.025,0.01,0.008700876319038956,0.013672855119305915,0.01,1.0,2013
Missouri,0.8059999999999999,0.112,0.038,0.017,0.008700876319038956,0.013672855119305915,0.024,1.0,2013
Montana,0.8740000000000001,0.10839234139688612,0.032,0.01,0.064,0.013672855119305915,0.021,1.0,2013
Nebraska,0.809,0.046,0.099,0.018000000000000002,0.01,0.013672855119305915,0.021,1.0,2013
Nevada,0.522,0.079,0.276,0.077,0.01,0.01,0.031,1.0,2013
New Hampshire,0.917,0.01,0.031,0.024,0.008700876319038956,0.013672855119305915,0.018,1.0,2013
New Jersey,0.575,0.124,0.19,0.09,0.008700876319038956,0.013672855119305915,0.02,1.0,2013
New Mexico,0.39399999999999996,0.016,0.473,0.013000000000000001,0.087,0.013672855119305915,0.017,1.0,2013
New York,0.57,0.142,0.184,0.079,0.008700876319038956,0.008700876319038956,0.023,1.0,2013
North Carolina,0.645,0.21,0.08800000000000001,0.025,0.011,0.013672855119305915,0.021,1.0,2013
North Dakota,0.8740000000000001,0.016,0.023,0.01,0.056,0.013672855119305915,0.021,1.0,2013
Ohio,0.8059999999999999,0.118,0.033,0.018000000000000002,0.008700876319038956,0.008700876319038956,0.023,1.0,2013
Oklahoma,0.677,0.07,0.096,0.017,0.077,0.013672855119305915,0.064,1.0,2013
Oregon,0.775,0.016,0.12300000000000001,0.039,0.01,0.008700876319038956,0.034,1.0,2013
Pennsylvania,0.7859999999999999,0.104,0.063,0.03,0.008700876319038956,0.013672855119305915,0.017,1.0,2013
Rhode Island,0.746,0.052,0.138,0.03,0.008700876319038956,0.013672855119305915,0.031,1.0,2013
South Carolina,0.642,0.272,0.052000000000000005,0.013000000000000001,0.008700876319038956,0.013672855119305915,0.017,1.0,2013
South Dakota,0.8370000000000001,0.016,0.032,0.01,0.082,0.013672855119305915,0.024,1.0,2013
Tennessee,0.7509999999999999,0.166,0.048,0.015,0.008700876319038956,0.008700876319038956,0.018,1.0,2013
Texas,0.44,0.113,0.386,0.040999999999999995,0.008700876319038956,0.008700876319038956,0.017,1.0,2013
Utah,0.7959999999999999,0.01,0.133,0.022000000000000002,0.01,0.01,0.021,1.0,2013
Vermont,0.941,0.01,0.015,0.013000000000000001,0.008700876319038956,0.013672855119305915,0.018,1.0,2013
Virginia,0.638,0.186,0.086,0.059000000000000004,0.008700876319038956,0.008700876319038956,0.029,1.0,2013
Washington,0.71,0.034,0.11900000000000001,0.077,0.012,0.01,0.042,1.0,2013
West Virginia,0.932,0.03,0.012,0.01,0.01920862825091862,0.013672855119305915,0.019,1.0,2013
