Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
United States,0.111,0.276,0.247,0.129,0.293,0.196,0.158,2013
Alabama,0.129,0.316,0.35700000000000004,0.17600000000000002,0.142,0.222,0.18899999999999997,2013
Alaska,0.054000000000000006,0.2947727272727273,0.145,0.1538139534883721,0.259,0.2205510204081632,0.091,2013
Arizona,0.113,0.243,0.293,0.161,0.387,0.191,0.18600000000000003,2013
Arkansas,0.149,0.34600000000000003,0.314,0.131,0.225,0.231,0.192,2013
California,0.107,0.263,0.231,0.122,0.23800000000000002,0.151,0.16699999999999998,2013
Colorado,0.09300000000000001,0.239,0.235,0.098,0.163,0.141,0.13,2013
Connecticut,0.061,0.19899999999999998,0.25,0.106,0.2818780487804877,0.126,0.105,2013
Delaware,0.087,0.166,0.373,0.1538139534883721,0.2818780487804877,0.239,0.13,2013
District of Columbia,0.079,0.28600000000000003,0.155,0.23399999999999999,0.2818780487804877,0.13699999999999998,0.19399999999999998,2013
Florida,0.11900000000000001,0.282,0.22,0.138,0.252,0.17800000000000002,0.17,2013
Georgia,0.126,0.268,0.313,0.147,0.21600000000000003,0.22699999999999998,0.18899999999999997,2013
Hawaii,0.106,0.2947727272727273,0.098,0.105,0.2818780487804877,0.129,0.109,2013
Idaho,0.14300000000000002,0.2947727272727273,0.24100000000000002,0.1538139534883721,0.262,0.255,0.159,2013
Illinois,0.09300000000000001,0.319,0.2,0.11599999999999999,0.243,0.182,0.145,2013
Indiana,0.127,0.309,0.304,0.183,0.215,0.278,0.158,2013
Iowa,0.111,0.324,0.233,0.203,0.366,0.325,0.13,2013
Kansas,0.10800000000000001,0.26899999999999996,0.23399999999999999,0.161,0.196,0.231,0.136,2013
Kentucky,0.17,0.278,0.284,0.142,0.225,0.299,0.184,2013
Louisiana,0.11800000000000001,0.33799999999999997,0.252,0.128,0.23399999999999999,0.27,0.19699999999999998,2013
Maine,0.125,0.5770000000000001,0.282,0.1538139534883721,0.332,0.166,0.133,2013
Maryland,0.07,0.153,0.13,0.095,0.324,0.14300000000000002,0.10300000000000001,2013
Massachusetts,0.084,0.203,0.297,0.133,0.302,0.162,0.11900000000000001,2013
Michigan,0.127,0.344,0.272,0.13,0.228,0.311,0.168,2013
Minnesota,0.08199999999999999,0.336,0.244,0.18,0.33,0.17800000000000002,0.113,2013
Mississippi,0.151,0.37799999999999995,0.331,0.12300000000000001,0.452,0.386,0.244,2013
Missouri,0.13699999999999998,0.298,0.253,0.191,0.325,0.237,0.163,2013
Montana,0.14800000000000002,0.2947727272727273,0.31,0.1538139534883721,0.423,0.304,0.174,2013
Nebraska,0.102,0.342,0.225,0.159,0.42,0.196,0.13,2013
Nevada,0.10800000000000001,0.278,0.22399999999999998,0.109,0.26899999999999996,0.174,0.157,2013
New Hampshire,0.08,0.2947727272727273,0.20600000000000002,0.157,0.2818780487804877,0.2205510204081632,0.08800000000000001,2013
New Jersey,0.064,0.212,0.221,0.055999999999999994,0.28,0.174,0.114,2013
New Mexico,0.12300000000000001,0.21,0.294,0.175,0.426,0.16,0.233,2013
New York,0.10400000000000001,0.242,0.261,0.18899999999999997,0.264,0.196,0.161,2013
North Carolina,0.125,0.28,0.32799999999999996,0.146,0.28800000000000003,0.252,0.18,2013
North Dakota,0.092,0.2947727272727273,0.20199999999999999,0.1538139534883721,0.38799999999999996,0.2205510204081632,0.12,2013
Ohio,0.12300000000000001,0.33399999999999996,0.251,0.106,0.312,0.27699999999999997,0.156,2013
Oklahoma,0.131,0.317,0.23399999999999999,0.179,0.222,0.22399999999999998,0.16699999999999998,2013
Oregon,0.142,0.32,0.267,0.187,0.22899999999999998,0.21100000000000002,0.165,2013
Pennsylvania,0.098,0.28300000000000003,0.348,0.191,0.2818780487804877,0.23399999999999999,0.138,2013
Rhode Island,0.08199999999999999,0.281,0.377,0.127,0.2818780487804877,0.23199999999999998,0.141,2013
South Carolina,0.127,0.3,0.297,0.214,0.2818780487804877,0.257,0.18600000000000003,2013
South Dakota,0.09699999999999999,0.2947727272727273,0.2,0.1538139534883721,0.483,0.266,0.138,2013
Tennessee,0.145,0.301,0.32899999999999996,0.094,0.139,0.28600000000000003,0.18100000000000002,2013
Texas,0.094,0.247,0.255,0.10800000000000001,0.154,0.18100000000000002,0.175,2013
Utah,0.10099999999999999,0.29,0.243,0.217,0.261,0.149,0.128,2013
Vermont,0.127,0.2947727272727273,0.2615576923076923,0.1538139534883721,0.2818780487804877,0.18,0.128,2013
Virginia,0.08900000000000001,0.21100000000000002,0.158,0.073,0.2818780487804877,0.136,0.11800000000000001,2013
Washington,0.11,0.25,0.268,0.128,0.24100000000000002,0.17800000000000002,0.14,2013
West Virginia,0.17300000000000001,0.316,0.299,0.1538139534883721,0.2818780487804877,0.318,0.18100000000000002,2013
Wisconsin,0.10300000000000001,0.375,0.293,0.17300000000000001,0.281,0.188,0.136,2013
Wyoming,0.083,0.2947727272727273,0.265,0.494,0.268,0.2205510204081632,0.106,2013
Puerto Rico,0.32799999999999996,0.5710000000000001,0.45799999999999996,0.1538139534883721,0.2818780487804877,0.44299999999999995,0.45799999999999996,2013
United States,0.10800000000000001,0.26899999999999996,0.24100000000000002,0.126,0.287,0.196,0.155,2014
Alabama,0.135,0.315,0.379,0.136,0.17300000000000001,0.27,0.195,2014
Alaska,0.076,0.27979545454545457,0.209,0.1567173913043478,0.233,0.22222448979591844,0.125,2014
Arizona,0.11,0.258,0.278,0.15,0.37799999999999995,0.17800000000000002,0.18,2014
Arkansas,0.14800000000000002,0.32299999999999995,0.306,0.157,0.28495000000000004,0.273,0.188,2014
California,0.10400000000000001,0.254,0.228,0.11599999999999999,0.263,0.152,0.16399999999999998,2014
Colorado,0.08800000000000001,0.2,0.215,0.106,0.207,0.172,0.122,2014
Connecticut,0.06,0.18600000000000003,0.24100000000000002,0.073,0.28495000000000004,0.15,0.102,2014
Delaware,0.095,0.221,0.162,0.053,0.28495000000000004,0.275,0.13,2014
District of Columbia,0.066,0.251,0.158,0.128,0.28495000000000004,0.22222448979591844,0.168,2014
Florida,0.11599999999999999,0.26899999999999996,0.218,0.136,0.23800000000000002,0.171,0.166,2014
Georgia,0.121,0.276,0.301,0.10800000000000001,0.23600000000000002,0.213,0.18600000000000003,2014
Hawaii,0.105,0.27979545454545457,0.149,0.109,0.28495000000000004,0.129,0.11599999999999999,2014
Idaho,0.129,0.27979545454545457,0.253,0.13699999999999998,0.308,0.258,0.149,2014
Illinois,0.09300000000000001,0.312,0.195,0.111,0.27899999999999997,0.18,0.14300000000000002,2014
Indiana,0.121,0.315,0.27899999999999997,0.16699999999999998,0.23399999999999999,0.289,0.153,2014
Iowa,0.106,0.345,0.205,0.17600000000000002,0.406,0.188,0.12300000000000001,2014
Kansas,0.106,0.247,0.27899999999999997,0.134,0.244,0.162,0.136,2014
Kentucky,0.16699999999999998,0.322,0.34600000000000003,0.233,0.385,0.23199999999999998,0.187,2014
Louisiana,0.121,0.33,0.254,0.126,0.345,0.205,0.196,2014
Maine,0.136,0.484,0.131,0.1567173913043478,0.607,0.321,0.146,2014
Maryland,0.069,0.139,0.135,0.10099999999999999,0.28495000000000004,0.127,0.099,2014
Massachusetts,0.075,0.21100000000000002,0.312,0.14400000000000002,0.28495000000000004,0.17800000000000002,0.11599999999999999,2014
Michigan,0.122,0.322,0.245,0.158,0.22699999999999998,0.278,0.16,2014
Minnesota,0.08,0.374,0.207,0.129,0.282,0.254,0.111,2014
Mississippi,0.136,0.35100000000000003,0.285,0.155,0.28495000000000004,0.243,0.222,2014
Missouri,0.129,0.28,0.237,0.156,0.18100000000000002,0.255,0.154,2014
Montana,0.135,0.355,0.287,0.325,0.406,0.195,0.161,2014
Nebraska,0.099,0.29600000000000004,0.248,0.1567173913043478,0.32899999999999996,0.16699999999999998,0.126,2014
Nevada,0.106,0.267,0.20800000000000002,0.1,0.207,0.14400000000000002,0.149,2014
New Hampshire,0.086,0.27979545454545457,0.20199999999999999,0.1567173913043478,0.28495000000000004,0.225,0.09300000000000001,2014
New Jersey,0.065,0.198,0.21100000000000002,0.064,0.252,0.135,0.111,2014
New Mexico,0.13699999999999998,0.18899999999999997,0.257,0.122,0.332,0.243,0.214,2014
New York,0.10099999999999999,0.21899999999999997,0.256,0.18,0.19,0.187,0.156,2014
North Carolina,0.11800000000000001,0.271,0.32799999999999996,0.11199999999999999,0.28300000000000003,0.261,0.174,2014
North Dakota,0.08900000000000001,0.27979545454545457,0.195,0.45399999999999996,0.397,0.22222448979591844,0.121,2014
Ohio,0.122,0.342,0.284,0.146,0.258,0.299,0.159,2014
Oklahoma,0.129,0.298,0.27399999999999997,0.14400000000000002,0.217,0.174,0.165,2014
Oregon,0.132,0.38799999999999996,0.261,0.175,0.282,0.27699999999999997,0.161,2014
Pennsylvania,0.099,0.28300000000000003,0.302,0.153,0.23,0.23399999999999999,0.135,2014
Rhode Island,0.10300000000000001,0.185,0.32,0.1567173913043478,0.28495000000000004,0.17,0.14300000000000002,2014
South Carolina,0.11800000000000001,0.297,0.311,0.121,0.237,0.301,0.18100000000000002,2014
South Dakota,0.092,0.27979545454545457,0.37799999999999995,0.457,0.56,0.159,0.147,2014
Tennessee,0.14400000000000002,0.308,0.366,0.146,0.191,0.278,0.185,2014
Texas,0.092,0.231,0.252,0.11199999999999999,0.122,0.17,0.172,2014
Utah,0.08900000000000001,0.23399999999999999,0.239,0.17600000000000002,0.311,0.22,0.11900000000000001,2014
Vermont,0.098,0.27979545454545457,0.2568076923076923,0.1567173913043478,0.28495000000000004,0.262,0.102,2014
Virginia,0.08900000000000001,0.215,0.152,0.084,0.183,0.134,0.11900000000000001,2014
Washington,0.105,0.22899999999999998,0.22699999999999998,0.135,0.275,0.19899999999999998,0.133,2014
West Virginia,0.171,0.301,0.316,0.187,0.28495000000000004,0.301,0.179,2014
Wisconsin,0.095,0.35100000000000003,0.27399999999999997,0.213,0.317,0.247,0.129,2014
Wyoming,0.09300000000000001,0.27979545454545457,0.297,0.278,0.306,0.22222448979591844,0.12,2014
Puerto Rico,0.258,0.27979545454545457,0.461,0.1567173913043478,0.28495000000000004,0.5579999999999999,0.46,2014
United States,0.10400000000000001,0.254,0.226,0.121,0.264,0.17800000000000002,0.147,2015
Alabama,0.133,0.307,0.344,0.124,0.142,0.231,0.18899999999999997,2015
Alaska,0.076,0.2791521739130435,0.24502083333333335,0.13693333333333335,0.23199999999999998,0.11599999999999999,0.10300000000000001,2015
Arizona,0.114,0.243,0.255,0.126,0.355,0.156,0.17300000000000001,2015
Arkansas,0.146,0.33299999999999996,0.368,0.193,0.22699999999999998,0.257,0.19399999999999998,2015
California,0.10099999999999999,0.225,0.21,0.114,0.195,0.13699999999999998,0.153,2015
Colorado,0.08199999999999999,0.191,0.195,0.16699999999999998,0.157,0.156,0.11599999999999999,2015
Connecticut,0.057999999999999996,0.187,0.252,0.062,0.25750000000000006,0.128,0.10300000000000001,2015
Delaware,0.079,0.22699999999999998,0.299,0.092,0.25750000000000006,0.257,0.135,2015
District of Columbia,0.069,0.252,0.127,0.107,0.25750000000000006,0.20348979591836727,0.16399999999999998,2015
Florida,0.111,0.249,0.20600000000000002,0.125,0.166,0.16399999999999998,0.157,2015
Georgia,0.11199999999999999,0.25,0.271,0.107,0.276,0.19399999999999998,0.171,2015
Hawaii,0.10099999999999999,0.2791521739130435,0.171,0.10400000000000001,0.25750000000000006,0.096,0.109,2015
Idaho,0.129,0.2791521739130435,0.21,0.13,0.228,0.17800000000000002,0.141,2015
Illinois,0.087,0.287,0.2,0.11699999999999999,0.25750000000000006,0.175,0.13699999999999998,2015
Indiana,0.12,0.299,0.27399999999999997,0.182,0.19699999999999998,0.276,0.151,2015
Iowa,0.10400000000000001,0.364,0.309,0.257,0.33899999999999997,0.147,0.129,2015
Kansas,0.1,0.261,0.209,0.162,0.23399999999999999,0.278,0.129,2015
Kentucky,0.166,0.292,0.304,0.14300000000000002,0.261,0.26899999999999996,0.182,2015
Louisiana,0.126,0.317,0.244,0.145,0.215,0.19,0.19399999999999998,2015
Maine,0.12,0.491,0.21899999999999997,0.13693333333333335,0.248,0.251,0.129,2015
Maryland,0.068,0.149,0.149,0.07400000000000001,0.25750000000000006,0.109,0.10099999999999999,2015
Massachusetts,0.076,0.203,0.276,0.135,0.25750000000000006,0.16399999999999998,0.113,2015
Michigan,0.12,0.327,0.233,0.156,0.233,0.28300000000000003,0.159,2015
Minnesota,0.07,0.33,0.214,0.168,0.259,0.114,0.1,2015
