no,width,height,area
1,164,871,142844
2,828,108,89424
3,148,655,96940
4,849,551,467799
5,925,635,587375
6,963,77,74151
7,190,676,128440
8,323,645,208335
9,506,950,480700
10,166,188,31208
11,783,56,43848
12,318,257,81726
13,646,78,50388
14,361,233,84113
15,487,962,468494
16,186,331,61566
17,739,192,141888
18,265,997,264205
19,48,567,27216
20,752,290,218080
21,685,77,52745
22,512,887,454144
23,738,298,219924
24,366,436,159576
25,38,50,1900
26,533,768,409344
27,349,797,278153
28,36,367,13212
29,916,170,155720
30,311,46,14306
31,699,748,522852
32,619,522,323118
33,58,543,31494
34,36,369,13284
35,766,206,157796
36,106,144,15264
37,739,426,314814
38,752,73,54896
39,872,567,494424
40,971,235,228185
41,938,816,765408
42,888,634,562992
43,592,542,320864
44,15,751,11265
45,827,20,16540
46,81,489,39609
47,76,387,29412
48,243,186,45198
49,979,913,893827
50,778,594,462132
51,60,903,54180
52,123,979,120417
53,626,157,98282
54,26,289,7514
55,43,156,6708
56,214,883,188962
57,457,131,59867
58,151,627,94677
59,218,354,77172
60,783,358,280314
61,14,142,1988
62,271,410,111110
63,260,574,149240
64,672,152,102144
65,994,80,79520
66,78,852,66456
67,19,513,9747
68,682,464,316448
69,10,875,8750
70,821,389,319369
71,925,206,190550
72,731,140,102340
73,303,567,171801
74,658,815,536270
75,707,185,130795
76,106,791,83846
77,450,217,97650
78,427,119,50813
79,567,620,351540
80,734,244,179096
81,795,229,182055
82,780,387,301860
83,593,468,277524
84,527,246,129642
85,287,202,57974
86,255,64,16320
87,164,384,62976
88,184,414,76176
89,791,273,215943
90,866,63,54558
91,285,3,855
92,753,665,500745
93,376,121,45496
94,554,516,285864
95,346,172,59512
96,179,440,78760
97,375,589,220875
98,303,749,226947
99,383,484,185372
100,984,777,764568
101,216,554,119664
102,515,68,35020
103,538,839,451382
104,433,79,34207
105,584,742,433328
106,16,389,6224
107,725,574,416150
108,606,825,499950
109,567,252,142884
110,563,574,323162
111,502,415,208330
112,560,191,106960
113,107,233,24931
114,163,698,113774
115,675,556,375300
116,133,784,104272
117,531,440,233640
118,76,591,44916
119,489,544,266016
120,968,591,572088
121,600,232,139200
122,697,344,239768
123,655,11,7205
124,793,372,294996
125,222,119,26418
126,855,776,663480
127,464,896,415744
128,354,333,117882
129,793,545,432185
130,371,891,330561
131,948,430,407640
132,541,415,224515
133,265,889,235585
134,551,788,434188
135,517,570,294690
136,281,452,127012
137,606,831,503586
138,429,5,2145
139,11,363,3993
140,645,708,456660
141,639,879,561681
142,572,66,37752
143,316,522,164952
144,719,656,471664
145,626,677,423802
146,689,49,33761
147,500,33,16500
148,96,838,80448
149,708,636,450288
150,890,740,658600
151,814,89,72446
152,931,388,361228
153,55,4,220
154,547,407,222629
155,559,377,210743
156,529,842,445418
157,59,551,32509
158,666,414,275724
159,723,549,396927
