No.,Quote
1,AAV
2,ACE
3,ADVANC
4,AEONTS
5,AMATA
6,AOT
7,AP
8,AWC
9,BANPU
10,BBL
11,BCH
12,BCP
13,BCPG
14,BDMS
15,BEC
16,BEM
17,BGRIM
18,BH
19,BJC
20,BPP
21,BTS
22,CBG
23,CENTEL
24,CHG
25,CK
26,CKP
27,COM7
28,CPALL
29,CPF
30,CPN
31,CRC
32,DOHOME
33,DTAC
34,EA
35,EGCO
36,EPG
37,ESSO
38,GFPT
39,GLOBAL
40,GPSC
41,GULF
42,GUNKUL
43,HANA
44,HMPRO
45,INTUCH
46,IRPC
47,IVL
48,JAS
49,JMT
50,KBANK
51,KCE
52,KKP
53,KTB
54,KTC
55,LH
56,MAJOR
57,MEGA
58,MINT
59,MTC
60,ORI
61,OSP
62,PLANB
63,PRM
64,PSH
65,PTG
66,PTT
67,PTTEP
68,PTTGC
69,QH
70,RATCH
71,RBF
72,RS
73,SAWAD
74,SCB
75,SCC
76,SCGP
77,SGP
78,SIRI
79,SPALI
80,SPRC
81,STA
82,STEC
83,SUPER
84,TASCO
85,TCAP
86,THANI
87,TISCO
88,TKN
89,TMB
90,TOA
91,TOP
92,TPIPP
93,TQM
94,TRUE
95,TTW
96,TU
97,TVO
98,VGI
99,WHA
100,WHAUP
